protocol,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_mean,flow_byts_s,flow_pkts_s,flow_iat_std,flow_iat_min,fwd_iat_tot,fwd_iat_min,bwd_iat_tot,bwd_iat_min,fwd_psh_flags,fwd_urg_flags,bwd_pkts_s,fin_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,down_up_ratio,init_fwd_win_byts,init_bwd_win_byts,fwd_seg_size_min,active_mean,idle_mean,label
17,27626,2,2,88,344,44,0,172,15637.44299,144.7911388,7787.788154,403,27223,27223,15594,15594,0,0,72.39556939,0,0,0,0,0,1,-1,-1,8,0,0,Benign
6,61003547,15,14,776,3472,51.73333333,124.3230048,248,69.63529514,0.475382194,4161159.729,2,61000000,189,60900000,2,0,0,0.229494852,0,1,1,0,0,0,8192,31088,20,106148,10000000,Benign
17,604,1,1,40,56,40,0,56,158940.3974,3311.258278,0,604,0,0,0,0,0,0,1655.629139,0,0,0,0,0,1,-1,-1,8,0,0,Benign
6,54755191,2,0,0,0,0,0,0,0,0.036526217,0,54755191,54755191,54755191,0,0,0,0,0,0,0,0,1,0,0,279,-1,20,0,0,Benign
6,18,1,1,0,0,0,0,0,0,111111.1111,0,18,0,0,0,0,0,0,55555.55556,0,0,0,1,1,1,31500,63764,20,0,0,Benign
6,9445,3,4,340,935,113.3333333,196.2990915,233.75,134992.0593,741.1328745,3471.86039,7,9117,466,9438,24,0,0,423.5044997,0,1,1,0,0,1,65535,219,20,0,0,DDOS attack-HOIC
6,1,1,1,0,0,0,0,0,0,2000000,0,1,0,0,0,0,0,0,1000000,0,0,1,0,0,1,26883,0,40,0,0,FTP-BruteForce
6,3010807,10,7,1132,1581,113.2,205.342424,225.8571429,901.0873165,5.646326716,335072.2696,2,3010807,2,2889144,123726,0,0,2.324958059,0,1,1,0,0,0,8192,62868,20,0,0,Benign
6,2,1,1,0,0,0,0,0,0,1000000,0,2,0,0,0,0,0,0,500000,0,0,1,0,0,1,26883,0,40,0,0,DoS attacks-SlowHTTPTest
6,17,1,1,0,0,0,0,0,0,117647.0588,0,17,0,0,0,0,0,0,58823.52941,0,0,1,0,0,1,26883,0,40,0,0,DoS attacks-SlowHTTPTest
17,12783,1,1,22,93,22,0,93,8996.323242,156.4577955,0,12783,0,0,0,0,0,0,78.22889775,0,0,0,0,0,1,-1,-1,8,0,0,Benign
6,19,1,1,0,0,0,0,0,0,105263.1579,0,19,0,0,0,0,0,0,52631.57895,0,0,1,0,0,1,26883,0,40,0,0,FTP-BruteForce
6,17366,3,4,326,935,108.6666667,188.2161878,233.75,72613.15214,403.0864908,6182.818052,3,15774,314,17361,77,0,0,230.3351376,0,1,1,0,0,1,65535,219,20,0,0,DDOS attack-HOIC
17,584,1,1,41,69,41,0,69,188356.1644,3424.657534,0,584,0,0,0,0,0,0,1712.328767,0,0,0,0,0,1,-1,-1,8,0,0,Benign
17,347,1,1,31,47,31,0,47,224783.8617,5763.688761,0,347,0,0,0,0,0,0,2881.84438,0,0,0,0,0,1,-1,-1,8,0,0,Infilteration
6,2,1,1,0,0,0,0,0,0,1000000,0,2,0,0,0,0,0,0,500000,0,0,1,0,0,1,26883,0,40,0,0,DoS attacks-SlowHTTPTest
6,170,2,0,0,0,0,0,0,0,11764.70588,0,170,170,170,0,0,0,0,0,0,0,0,1,0,0,64036,-1,20,0,0,Benign
6,2,1,1,0,0,0,0,0,0,1000000,0,2,0,0,0,0,0,0,500000,0,0,1,0,0,1,26883,0,40,0,0,DoS attacks-SlowHTTPTest
6,38577,3,4,341,935,113.6666667,196.8764418,233.75,33076.70374,181.4552713,10193.499,3,15202,292,38574,22,0,0,103.6887264,0,1,1,0,0,1,65535,219,20,0,0,DDOS attack-HOIC
6,1232601,6,5,455,338,75.83333333,62.93621109,67.6,643.3549867,8.924217975,165439.8806,3,1232533,3,1232541,264157,0,0,4.056462716,0,0,1,0,0,0,8192,0,20,0,0,Benign
6,1,1,1,0,0,0,0,0,0,2000000,0,1,0,0,0,0,0,0,1000000,0,0,1,0,0,1,26883,0,40,0,0,FTP-BruteForce
6,28437,3,4,291,935,97,168.0089283,233.75,43112.84594,246.1581742,7226.466017,4,14037,280,28433,24,0,0,140.6618138,0,1,1,0,0,1,65535,219,20,0,0,DDOS attack-HOIC
17,329,1,1,48,64,48,0,64,340425.5319,6079.027356,0,329,0,0,0,0,0,0,3039.513678,0,0,0,0,0,1,-1,-1,8,0,0,Benign
6,3,1,1,0,0,0,0,0,0,666666.6667,0,3,0,0,0,0,0,0,333333.3333,0,0,1,0,0,1,26883,0,40,0,0,DoS attacks-SlowHTTPTest
6,18,1,1,0,0,0,0,0,0,111111.1111,0,18,0,0,0,0,0,0,55555.55556,0,0,0,1,1,1,172,255,20,0,0,Benign
6,2729728,10,7,1132,1581,113.2,205.342424,225.8571429,993.8719169,6.227726719,263262.5237,3,2729728,3,2608696,122728,0,0,2.564358061,0,1,1,0,0,0,8192,62868,20,0,0,Benign
17,1343,1,1,51,79,51,0,79,96798.21296,1489.203276,0,1343,0,0,0,0,0,0,744.6016381,0,0,0,0,0,1,-1,-1,8,0,0,Benign
6,11987991,4,4,365,972,91.25,182.5,243,111.5282786,0.667334502,2980105.825,6,6986850,163,11987985,511,0,0,0.333667251,0,0,1,0,0,1,26883,219,32,517,6986061,DoS attacks-GoldenEye
6,29220,2,0,0,0,0,0,0,0,68.44626968,0,29220,29220,29220,0,0,0,0,0,0,0,0,1,0,0,32738,-1,20,0,0,DDOS attack-HOIC
6,116859987,16,15,937,4136,58.5625,88.74755865,275.7333333,43.41092388,0.265274717,14800000,5,117000000,96,117000000,16,0,0,0.128358734,0,1,1,0,0,0,8192,180,20,101341.5,58300000,Benign
6,5038250,4,4,282,972,70.5,141,243,248.895946,1.587852925,1889032.951,7,34672,29,5038243,291,0,0,0.793926463,0,0,1,0,0,1,26883,219,32,0,0,DoS attacks-GoldenEye
6,3,1,1,0,0,0,0,0,0,666666.6667,0,3,0,0,0,0,0,0,333333.3333,0,0,1,0,0,1,26883,0,40,0,0,DoS attacks-SlowHTTPTest
6,13226,3,4,276,935,92,159.3486743,233.75,91562.0747,529.2605474,4774.333699,3,12239,318,13223,20,0,0,302.4345985,0,1,1,0,0,1,65535,219,20,0,0,DDOS attack-HOIC
6,3,1,1,0,0,0,0,0,0,666666.6667,0,3,0,0,0,0,0,0,333333.3333,0,0,1,0,0,1,26883,0,40,0,0,DoS attacks-SlowHTTPTest
6,139,2,0,0,0,0,0,0,0,14388.48921,0,139,139,139,0,0,0,0,0,0,0,0,1,0,0,255,-1,20,0,0,Benign
6,24,1,1,0,0,0,0,0,0,83333.33333,0,24,0,0,0,0,0,0,41666.66667,0,0,0,1,1,1,946,255,20,0,0,Benign
6,3,1,1,0,0,0,0,0,0,666666.6667,0,3,0,0,0,0,0,0,333333.3333,0,0,1,0,0,1,26883,0,40,0,0,DoS attacks-SlowHTTPTest
17,998,1,1,32,48,32,0,48,80160.32064,2004.008016,0,998,0,0,0,0,0,0,1002.004008,0,0,0,0,0,1,-1,-1,8,0,0,Benign
6,29873,2,0,0,0,0,0,0,0,66.95008871,0,29873,29873,29873,0,0,0,0,0,0,0,0,1,0,0,32738,-1,20,0,0,DDOS attack-HOIC
6,1396366,8,7,1132,1581,141.5,222.7920235,225.8571429,1942.900357,10.74216932,251963.3846,3,1396366,3,1333337,63498,0,0,5.013012348,0,0,1,0,0,0,8192,62868,20,0,0,Benign
6,25,1,1,0,0,0,0,0,0,80000,0,25,0,0,0,0,0,0,40000,0,0,1,0,0,1,26883,0,40,0,0,FTP-BruteForce
6,3,1,1,0,0,0,0,0,0,666666.6667,0,3,0,0,0,0,0,0,333333.3333,0,0,1,0,0,1,26883,0,40,0,0,DoS attacks-SlowHTTPTest
17,12151,1,1,49,110,49,0,110,13085.34277,164.5955065,0,12151,0,0,0,0,0,0,82.29775327,0,0,0,0,0,1,-1,-1,8,0,0,Benign
6,2,1,1,0,0,0,0,0,0,1000000,0,2,0,0,0,0,0,0,500000,0,0,1,0,0,1,26883,0,40,0,0,FTP-BruteForce
6,2,1,1,0,0,0,0,0,0,1000000,0,2,0,0,0,0,0,0,500000,0,0,1,0,0,1,26883,0,40,0,0,DoS attacks-SlowHTTPTest
6,2,1,1,0,0,0,0,0,0,1000000,0,2,0,0,0,0,0,0,500000,0,0,1,0,0,1,26883,0,40,0,0,FTP-BruteForce
6,70,2,0,0,0,0,0,0,0,28571.42857,0,70,70,70,0,0,0,0,0,0,0,0,1,0,0,278,-1,20,0,0,Benign
6,3,1,1,0,0,0,0,0,0,666666.6667,0,3,0,0,0,0,0,0,333333.3333,0,0,1,0,0,1,26883,0,40,0,0,DoS attacks-SlowHTTPTest
6,700,3,4,161,488,53.66666667,92.95339334,122,927142.8571,10000,75.9938594,26,336,115,514,26,0,0,5714.285714,0,0,1,0,0,1,8192,149,20,0,0,Benign
6,2,1,1,0,0,0,0,0,0,1000000,0,2,0,0,0,0,0,0,500000,0,0,1,0,0,1,26883,0,40,0,0,FTP-BruteForce
6,21088,2,0,0,0,0,0,0,0,94.84066768,0,21088,21088,21088,0,0,0,0,0,0,0,0,1,0,0,32738,-1,20,0,0,DDOS attack-HOIC
17,2411,1,1,35,97,35,0,97,54749.06678,829.5313148,0,2411,0,0,0,0,0,0,414.7656574,0,0,0,0,0,1,-1,-1,8,0,0,Benign
6,29716,2,0,0,0,0,0,0,0,67.3038094,0,29716,29716,29716,0,0,0,0,0,0,0,0,1,0,0,32738,-1,20,0,0,DDOS attack-HOIC
6,142,2,0,0,0,0,0,0,0,14084.50704,0,142,142,142,0,0,0,0,0,0,0,0,1,0,0,255,-1,20,0,0,Benign
6,1847150,8,8,1128,1581,141,222.6233206,197.625,1466.583656,8.6619928,235439.6865,3,1847150,3,1727885,74914,0,0,4.3309964,0,1,1,0,0,1,8192,62872,20,0,0,Benign
6,18,1,1,0,0,0,0,0,0,111111.1111,0,18,0,0,0,0,0,0,55555.55556,0,0,1,0,0,1,26883,0,40,0,0,DoS attacks-SlowHTTPTest
17,1088,1,1,36,164,36,0,164,183823.5294,1838.235294,0,1088,0,0,0,0,0,0,919.1176471,0,0,0,0,0,1,-1,-1,8,0,0,Benign
6,212935,4,2,42,19,10.5,21,9.5,286.4723977,28.17761289,57207.15862,90,212935,114,107674,107674,0,0,9.392537629,0,1,1,0,0,0,8192,63958,20,0,0,Benign
17,416981,2,0,44,0,22,0,0,105.5203954,4.79638161,0,416981,416981,416981,0,0,0,0,0,0,0,0,0,0,0,-1,-1,8,0,0,Benign
17,2089,1,1,35,127,35,0,127,77549.06654,957.3958832,0,2089,0,0,0,0,0,0,478.6979416,0,0,0,0,0,1,-1,-1,8,0,0,Benign
6,1946483,2,0,0,0,0,0,0,0,1.027494204,0,1946483,1946483,1946483,0,0,0,0,0,0,0,0,1,0,0,226,-1,32,0,0,DoS attacks-GoldenEye
6,4,1,1,0,0,0,0,0,0,500000,0,4,0,0,0,0,0,0,250000,0,0,1,0,0,1,26883,0,40,0,0,DoS attacks-SlowHTTPTest
17,698899,2,2,86,118,43,0,59,291.887669,5.723287628,402882.5302,288,698463,698463,698611,698611,0,0,2.861643814,0,0,0,0,0,1,-1,-1,8,0,0,Benign
6,1,1,1,0,0,0,0,0,0,2000000,0,1,0,0,0,0,0,0,1000000,0,0,1,0,0,1,26883,0,40,0,0,FTP-BruteForce
6,87,2,0,0,0,0,0,0,0,22988.50575,0,87,87,87,0,0,0,0,0,0,0,0,1,0,0,278,-1,20,0,0,Benign
6,2,1,1,0,0,0,0,0,0,1000000,0,2,0,0,0,0,0,0,500000,0,0,1,0,0,1,26883,0,40,0,0,DoS attacks-SlowHTTPTest
6,11503487,8,8,1144,1581,143,227.9699228,197.625,236.8846942,1.390882608,2444765.771,3,11500000,3,11400000,120982,0,0,0.695441304,0,1,1,0,0,1,8192,62856,20,244971,9573314,Benign
17,663,1,1,38,94,38,0,94,199095.0226,3016.591252,0,663,0,0,0,0,0,0,1508.295626,0,0,0,0,0,1,-1,-1,8,0,0,Benign
6,11160821,4,4,439,662,109.75,219.5,165.5,98.64865676,0.716793146,2742956.333,3,6156285,15,11160818,326,0,0,0.358396573,0,0,1,0,0,1,26883,219,32,329,6155674,DoS attacks-GoldenEye
6,3035754,3,0,0,0,0,0,0,0,0.988222366,704366.0353,1019815,3035754,1019815,0,0,0,0,0,0,0,1,0,0,0,26883,-1,40,0,0,DoS attacks-Slowloris
6,1013,3,4,161,488,53.66666667,92.95339334,122,640671.2734,6910.167818,218.6105365,0,444,126,749,0,0,0,3948.667325,0,0,1,0,0,1,8192,149,20,0,0,Benign
6,21921,3,4,299,935,99.66666667,172.6277305,233.75,56293.05232,319.3284978,5784.776668,4,13823,325,21914,25,0,0,182.4734273,0,1,1,0,0,1,65535,219,20,0,0,DDOS attack-HOIC
6,3,1,1,0,0,0,0,0,0,666666.6667,0,3,0,0,0,0,0,0,333333.3333,0,0,1,0,0,1,26883,0,40,0,0,DoS attacks-SlowHTTPTest
6,2,1,1,0,0,0,0,0,0,1000000,0,2,0,0,0,0,0,0,500000,0,0,1,0,0,1,26883,0,40,0,0,DoS attacks-SlowHTTPTest
6,218621,3,1,0,0,0,0,0,0,18.296504,126043.3583,94,218621,94,0,0,0,0,4.574125999,0,0,1,0,0,0,8192,8192,20,0,0,Benign
6,138753,2,1,0,0,0,0,0,0,21.62115414,98087.73137,18,138753,138753,0,0,0,0,7.207051379,0,0,1,0,0,0,1024,0,20,0,0,Benign
17,55426,2,2,90,122,45,0,61,3824.919713,72.16829647,31408.8912,238,55188,55188,54981,54981,0,0,36.08414823,0,0,0,0,0,1,-1,-1,8,0,0,Benign
6,185,3,1,53,0,17.66666667,30.59956427,0,286486.4865,21621.62162,105.0825073,0,2,0,0,0,0,0,5405.405405,0,0,0,1,0,0,1676,0,20,0,0,Benign
6,2,1,1,0,0,0,0,0,0,1000000,0,2,0,0,0,0,0,0,500000,0,0,1,0,0,1,26883,0,40,0,0,DoS attacks-SlowHTTPTest
0,112639648,3,0,0,0,0,0,0,0,0.026633606,127.2792206,56319734,112639648,56319734,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,56319824,Benign
6,12616,3,4,299,935,99.66666667,172.6277305,233.75,97812.30184,554.8509829,4799.008092,3,12150,258,12613,21,0,0,317.0577045,0,1,1,0,0,1,65535,219,20,0,0,DDOS attack-HOIC
6,86256460,2,0,0,0,0,0,0,0,0.023186669,0,86256460,86256460,86256460,0,0,0,0,0,0,0,0,1,0,0,62560,-1,20,0,86256460,Benign
6,22722,3,4,266,935,88.66666667,153.5751716,233.75,52856.26265,308.0714726,6260.110446,3,15391,267,22717,35,0,0,176.0408415,0,1,1,0,0,1,65535,219,20,0,0,DDOS attack-HOIC
17,18613,1,1,34,98,34,0,98,7091.817547,107.451781,0,18613,0,0,0,0,0,0,53.72589051,0,0,0,0,0,1,-1,-1,8,0,0,Benign
17,647,1,1,42,102,42,0,102,222565.6878,3091.190108,0,647,0,0,0,0,0,0,1545.595054,0,0,0,0,0,1,-1,-1,8,0,0,Benign
6,249881,3,1,0,0,0,0,0,0,16.00761963,144196.9882,1,249881,1,0,0,0,0,4.001904907,0,0,1,0,0,0,8192,8192,20,0,0,Benign
6,1058,3,4,148,243,49.33333333,85.44783984,60.75,369565.2174,6616.257089,151.4168639,1,664,155,617,1,0,0,3780.718336,0,0,1,0,0,1,8192,149,20,0,0,Benign
17,134062,2,2,84,192,42,0,96,2058.748937,29.83694112,75993.29534,482,133580,133580,132918,132918,0,0,14.91847056,0,0,0,0,0,1,-1,-1,8,0,0,Benign
17,950,1,1,32,60,32,0,60,96842.10526,2105.263158,0,950,0,0,0,0,0,0,1052.631579,0,0,0,0,0,1,-1,-1,8,0,0,Benign
6,22,1,1,0,0,0,0,0,0,90909.09091,0,22,0,0,0,0,0,0,45454.54545,0,0,1,0,0,1,26883,0,40,0,0,DoS attacks-SlowHTTPTest
6,1400488,8,7,1148,1581,143.5,228.1296624,225.8571429,1948.606486,10.71055232,252023.6427,51,1400488,66,1337583,63158,0,0,4.99825775,0,0,1,0,0,0,8192,62852,20,0,0,Benign
17,730,1,1,38,66,38,0,66,142465.7534,2739.726027,0,730,0,0,0,0,0,0,1369.863014,0,0,0,0,0,1,-1,-1,8,0,0,Benign
6,2,1,1,0,0,0,0,0,0,1000000,0,2,0,0,0,0,0,0,500000,0,0,1,0,0,1,26883,0,40,0,0,DoS attacks-SlowHTTPTest
6,2,1,1,0,0,0,0,0,0,1000000,0,2,0,0,0,0,0,0,500000,0,0,1,0,0,1,26883,0,40,0,0,DoS attacks-SlowHTTPTest
6,54640243,2,0,0,0,0,0,0,0,0.036603058,0,54640243,54640243,54640243,0,0,0,0,0,0,0,0,1,0,0,279,-1,20,0,0,Benign
6,2073273,2,0,0,0,0,0,0,0,0.964658296,0,2073273,2073273,2073273,0,0,0,0,0,0,0,0,1,0,0,226,-1,32,0,0,DoS attacks-GoldenEye
6,1,1,1,0,0,0,0,0,0,2000000,0,1,0,0,0,0,0,0,1000000,0,0,1,0,0,1,26883,0,40,0,0,FTP-BruteForce
6,14137,3,4,267,935,89,154.1525219,233.75,85025.11141,495.154559,5498.374611,7,13855,278,14130,27,0,0,282.9454623,0,1,1,0,0,1,65535,219,20,0,0,DDOS attack-HOIC
17,89479539,6,0,3000,0,500,0,0,33.52721788,0.067054436,15345190.49,4000299,89479539,4000299,0,0,0,0,0,0,0,0,0,0,0,-1,-1,8,4000299,21369810,Benign
17,368,1,1,43,59,43,0,59,277173.913,5434.782609,0,368,0,0,0,0,0,0,2717.391304,0,0,0,0,0,1,-1,-1,8,0,0,Benign
6,65,3,1,77,0,25.66666667,23.45918441,0,1184615.385,61538.46154,18.7705443,0,65,0,0,0,1,0,15384.61538,0,0,0,1,0,0,145,0,20,0,0,Benign
6,2,1,1,0,0,0,0,0,0,1000000,0,2,0,0,0,0,0,0,500000,0,0,1,0,0,1,26883,0,40,0,0,FTP-BruteForce
6,3,1,1,0,0,0,0,0,0,666666.6667,0,3,0,0,0,0,0,0,333333.3333,0,0,1,0,0,1,26883,0,40,0,0,DoS attacks-SlowHTTPTest
6,19,1,1,0,0,0,0,0,0,105263.1579,0,19,0,0,0,0,0,0,52631.57895,0,0,1,0,0,1,26883,0,40,0,0,FTP-BruteForce
6,2,1,1,0,0,0,0,0,0,1000000,0,2,0,0,0,0,0,0,500000,0,0,1,0,0,1,26883,0,40,0,0,FTP-BruteForce
6,2468,3,4,267,935,89,154.1525219,233.75,487034.0357,2836.3047,526.8467203,3,1399,268,2465,24,0,0,1620.745543,0,1,1,0,0,1,65535,219,20,0,0,DDOS attack-HOIC
6,3,1,1,0,0,0,0,0,0,666666.6667,0,3,0,0,0,0,0,0,333333.3333,0,0,1,0,0,1,26883,0,40,0,0,DoS attacks-SlowHTTPTest
6,122366,3,1,0,0,0,0,0,0,32.68881879,69529.66136,87,122366,1207,0,0,0,0,8.172204697,0,0,1,0,0,0,8192,8192,20,0,0,Benign
6,15840,2,0,0,0,0,0,0,0,126.2626263,0,15840,15840,15840,0,0,0,0,0,0,0,0,1,0,0,32738,-1,20,0,0,DDOS attack-HOIC
6,8,1,1,0,0,0,0,0,0,250000,0,8,0,0,0,0,0,0,125000,0,0,1,0,0,1,26883,0,40,0,0,FTP-BruteForce
6,4975783,2,0,0,0,0,0,0,0,0.401946789,0,4975783,4975783,4975783,0,0,0,0,0,0,0,0,1,0,0,30016,-1,20,0,0,Benign
6,70816947,16,18,1336,9693,83.5,174.0160912,538.5,155.7395577,0.480111067,4130259.689,1,70816947,745,70778715,1,0,0,0.254176447,0,0,1,0,0,1,8192,118,20,134527.5714,9982089.143,Benign
6,108350081,15,3,2530,0,168.6666667,105.2796729,0,23.35023635,0.166128164,13531239.77,2,108350079,355,107326821,30996257,0,0,0.027688027,0,0,1,0,0,0,26883,0,32,6154078.5,24010480.5,DoS attacks-Slowloris
6,5,1,1,0,0,0,0,0,0,400000,0,5,0,0,0,0,0,0,200000,0,0,1,0,0,1,26883,0,40,0,0,FTP-BruteForce
6,53966037,2,0,0,0,0,0,0,0,0.037060346,0,53966037,53966037,53966037,0,0,0,0,0,0,0,0,1,0,0,279,-1,20,0,0,Benign
6,53910414,2,0,0,0,0,0,0,0,0.037098584,0,53910414,53910414,53910414,0,0,0,0,0,0,0,0,1,0,0,279,-1,20,0,0,Benign
17,32584,2,2,80,112,40,0,56,5892.462558,122.7596366,17919.51853,497,32050,32050,32087,32087,0,0,61.37981832,0,0,0,0,0,1,-1,-1,8,0,0,Benign
6,88189035,2,0,0,0,0,0,0,0,0.022678556,0,88189035,88189035,88189035,0,0,0,0,0,0,0,0,1,0,0,63324,-1,20,0,88189035,Benign
17,29414,2,2,72,136,36,0,68,7071.462569,135.9896648,16082.3808,516,28891,28891,28898,28898,0,0,67.99483239,0,0,0,0,0,1,-1,-1,8,0,0,Benign
6,11433,3,4,315,935,105,181.8653348,233.75,109332.6336,612.2627482,4311.946046,5,11104,403,11428,41,0,0,349.8644275,0,1,1,0,0,1,65535,219,20,0,0,DDOS attack-HOIC
6,2,1,1,0,0,0,0,0,0,1000000,0,2,0,0,0,0,0,0,500000,0,0,1,0,0,1,26883,0,40,0,0,DoS attacks-SlowHTTPTest
6,30,2,0,0,0,0,0,0,0,66666.66667,0,30,30,30,0,0,0,0,0,0,0,0,1,0,0,256,-1,20,0,0,Benign
6,37510,3,4,266,935,88.66666667,153.5751716,233.75,32018.1285,186.6169022,10340.92003,3,12608,299,37507,42,0,0,106.6382298,0,1,1,0,0,1,65535,219,20,0,0,DDOS attack-HOIC
17,749,1,1,35,115,35,0,115,200267.0227,2670.226969,0,749,0,0,0,0,0,0,1335.113485,0,0,0,0,0,1,-1,-1,8,0,0,Benign
6,4928750,11,7,1132,1581,102.9090909,197.7723209,225.8571429,550.4438245,3.652041593,529130.199,4,4928750,4,4116936,110360,0,0,1.420238397,0,1,1,0,0,0,8192,62868,20,0,0,Benign
6,19,1,1,0,0,0,0,0,0,105263.1579,0,19,0,0,0,0,0,0,52631.57895,0,0,1,0,0,1,26883,0,40,0,0,FTP-BruteForce
